questionText,answerText,mood_label
I have been feeling extremely anxious lately and cannot stop worrying about everything. My mind races at night and I cannot sleep.,"Anxiety is a very common experience and what you are describing sounds like generalised anxiety. Try focusing on slow deep breathing when the thoughts race. Inhale for 4 counts, hold for 4, exhale for 6. This activates your parasympathetic nervous system and signals safety to your brain.",anxiety
I have zero motivation and keep procrastinating on everything that matters.,"Low motivation often stems from executive function difficulties, depression, or fear of failure. The five-minute rule is scientifically supported: commit to doing the task for just five minutes. Starting is the hardest part and once begun most people continue.",low_motivation
"I feel disconnected from myself, like I am just going through the motions.","What you are describing sounds like depersonalisation or emotional numbness, which often occurs as a protective response to stress or trauma. Grounding exercises, especially those involving the physical senses, can help restore the connection to your present experience.",loneliness
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
I feel like a failure at everything. I cannot seem to get anything right.,"The inner critic you are describing is often a protective mechanism that developed early in life. Cognitive defusion techniques from ACT therapy can help you see these thoughts as just words your mind produces, not truths about who you are.",low_self_esteem
"I feel disconnected from myself, like I am just going through the motions.","What you are describing sounds like depersonalisation or emotional numbness, which often occurs as a protective response to stress or trauma. Grounding exercises, especially those involving the physical senses, can help restore the connection to your present experience.",loneliness
I have been really struggling with low self-esteem. I compare myself to others constantly.,"Social comparison is extremely common but damaging. Our brains evolved to compare ourselves to others, but social media has made this comparison constant and unfair. Try keeping a daily record of three specific things you did well, no matter how small.",stress
I feel completely alone and like no one understands what I am going through.,"Loneliness is one of the most painful human experiences. It is important to distinguish between being alone and feeling lonely, as they are different things. Finding even one person who understands, whether a friend, therapist, or support group, can make a profound difference.",loneliness
I struggle with intrusive thoughts that I cannot control and they scare me.,"Intrusive thoughts are a universal human experience and the research is clear: having a thought does not make you a bad person. The problem is not the thought itself but the meaning you attach to it. Mindfulness teaches you to observe thoughts as passing events, not facts.",stress
I have been really struggling with low self-esteem. I compare myself to others constantly.,"Social comparison is extremely common but damaging. Our brains evolved to compare ourselves to others, but social media has made this comparison constant and unfair. Try keeping a daily record of three specific things you did well, no matter how small.",stress
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
I have been feeling very angry lately and I take it out on people I love.,"Anger is a secondary emotion that often covers primary feelings like fear, hurt, or shame. When you feel anger rising, the physiological sigh, a double inhale through the nose followed by a long exhale, can interrupt the escalation cycle within seconds.",anger
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
"I feel disconnected from myself, like I am just going through the motions.","What you are describing sounds like depersonalisation or emotional numbness, which often occurs as a protective response to stress or trauma. Grounding exercises, especially those involving the physical senses, can help restore the connection to your present experience.",loneliness
"I feel disconnected from myself, like I am just going through the motions.","What you are describing sounds like depersonalisation or emotional numbness, which often occurs as a protective response to stress or trauma. Grounding exercises, especially those involving the physical senses, can help restore the connection to your present experience.",loneliness
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
I feel overwhelmed by everything I have to do and like I cannot cope.,"Overwhelm happens when demands exceed our perceived capacity. Brain dumping everything onto paper removes it from your working memory. Then identify one single most important task. You do not need to solve everything, only take one step.",stress
I have been through a traumatic experience and cannot stop thinking about it.,"What you are experiencing sounds like trauma responses, which are normal reactions to abnormal events. Trauma-focused therapies like EMDR and Trauma-focused CBT have the strongest evidence base. Please consider reaching out to a trauma-informed therapist.",stress
I am completely burned out from work. I feel exhausted all the time and dread going in every day.,"Burnout is a real and serious condition with three dimensions: exhaustion, cynicism, and a sense of inefficacy. The most important first step is rest without guilt. Your body and mind need genuine recovery time, not just sleep.",stress
I keep having panic attacks in public and now I avoid going out altogether.,"Panic attacks, while terrifying, are not dangerous. They are your fight-or-flight response misfiring. The most effective treatment is gradual exposure with support. Avoiding situations only strengthens the anxiety in the long run.",anxiety
I feel overwhelmed by everything I have to do and like I cannot cope.,"Overwhelm happens when demands exceed our perceived capacity. Brain dumping everything onto paper removes it from your working memory. Then identify one single most important task. You do not need to solve everything, only take one step.",stress
I feel completely alone and like no one understands what I am going through.,"Loneliness is one of the most painful human experiences. It is important to distinguish between being alone and feeling lonely, as they are different things. Finding even one person who understands, whether a friend, therapist, or support group, can make a profound difference.",loneliness
I feel overwhelmed by everything I have to do and like I cannot cope.,"Overwhelm happens when demands exceed our perceived capacity. Brain dumping everything onto paper removes it from your working memory. Then identify one single most important task. You do not need to solve everything, only take one step.",stress
I feel overwhelmed by everything I have to do and like I cannot cope.,"Overwhelm happens when demands exceed our perceived capacity. Brain dumping everything onto paper removes it from your working memory. Then identify one single most important task. You do not need to solve everything, only take one step.",stress
"I feel disconnected from myself, like I am just going through the motions.","What you are describing sounds like depersonalisation or emotional numbness, which often occurs as a protective response to stress or trauma. Grounding exercises, especially those involving the physical senses, can help restore the connection to your present experience.",loneliness
I have been feeling very angry lately and I take it out on people I love.,"Anger is a secondary emotion that often covers primary feelings like fear, hurt, or shame. When you feel anger rising, the physiological sigh, a double inhale through the nose followed by a long exhale, can interrupt the escalation cycle within seconds.",anger
I have been really struggling with low self-esteem. I compare myself to others constantly.,"Social comparison is extremely common but damaging. Our brains evolved to compare ourselves to others, but social media has made this comparison constant and unfair. Try keeping a daily record of three specific things you did well, no matter how small.",stress
"I feel disconnected from myself, like I am just going through the motions.","What you are describing sounds like depersonalisation or emotional numbness, which often occurs as a protective response to stress or trauma. Grounding exercises, especially those involving the physical senses, can help restore the connection to your present experience.",loneliness
I keep having panic attacks in public and now I avoid going out altogether.,"Panic attacks, while terrifying, are not dangerous. They are your fight-or-flight response misfiring. The most effective treatment is gradual exposure with support. Avoiding situations only strengthens the anxiety in the long run.",anxiety
I struggle with intrusive thoughts that I cannot control and they scare me.,"Intrusive thoughts are a universal human experience and the research is clear: having a thought does not make you a bad person. The problem is not the thought itself but the meaning you attach to it. Mindfulness teaches you to observe thoughts as passing events, not facts.",stress
My relationship is causing me so much stress and anxiety.,Relationship stress is one of the leading causes of anxiety and depression. Attachment theory research shows that our earliest relationships shape how we connect as adults. Couples therapy or individual therapy focusing on attachment patterns can be transformative.,anxiety
I cannot sleep no matter what I try. I lie awake for hours with my mind going.,"Sleep issues are often driven by hyperarousal, where your nervous system stays activated at night. Cognitive Behavioural Therapy for Insomnia, known as CBT-I, is the most effective non-medication treatment and works better than sleeping pills in the long term.",insomnia
I struggle with intrusive thoughts that I cannot control and they scare me.,"Intrusive thoughts are a universal human experience and the research is clear: having a thought does not make you a bad person. The problem is not the thought itself but the meaning you attach to it. Mindfulness teaches you to observe thoughts as passing events, not facts.",stress
I cannot sleep no matter what I try. I lie awake for hours with my mind going.,"Sleep issues are often driven by hyperarousal, where your nervous system stays activated at night. Cognitive Behavioural Therapy for Insomnia, known as CBT-I, is the most effective non-medication treatment and works better than sleeping pills in the long term.",insomnia
I feel like a failure at everything. I cannot seem to get anything right.,"The inner critic you are describing is often a protective mechanism that developed early in life. Cognitive defusion techniques from ACT therapy can help you see these thoughts as just words your mind produces, not truths about who you are.",low_self_esteem
I am completely burned out from work. I feel exhausted all the time and dread going in every day.,"Burnout is a real and serious condition with three dimensions: exhaustion, cynicism, and a sense of inefficacy. The most important first step is rest without guilt. Your body and mind need genuine recovery time, not just sleep.",stress
I have been through a traumatic experience and cannot stop thinking about it.,"What you are experiencing sounds like trauma responses, which are normal reactions to abnormal events. Trauma-focused therapies like EMDR and Trauma-focused CBT have the strongest evidence base. Please consider reaching out to a trauma-informed therapist.",stress
I struggle with intrusive thoughts that I cannot control and they scare me.,"Intrusive thoughts are a universal human experience and the research is clear: having a thought does not make you a bad person. The problem is not the thought itself but the meaning you attach to it. Mindfulness teaches you to observe thoughts as passing events, not facts.",stress
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
I feel overwhelmed by everything I have to do and like I cannot cope.,"Overwhelm happens when demands exceed our perceived capacity. Brain dumping everything onto paper removes it from your working memory. Then identify one single most important task. You do not need to solve everything, only take one step.",stress
My relationship is causing me so much stress and anxiety.,Relationship stress is one of the leading causes of anxiety and depression. Attachment theory research shows that our earliest relationships shape how we connect as adults. Couples therapy or individual therapy focusing on attachment patterns can be transformative.,anxiety
I have been really struggling with low self-esteem. I compare myself to others constantly.,"Social comparison is extremely common but damaging. Our brains evolved to compare ourselves to others, but social media has made this comparison constant and unfair. Try keeping a daily record of three specific things you did well, no matter how small.",stress
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
I have been through a traumatic experience and cannot stop thinking about it.,"What you are experiencing sounds like trauma responses, which are normal reactions to abnormal events. Trauma-focused therapies like EMDR and Trauma-focused CBT have the strongest evidence base. Please consider reaching out to a trauma-informed therapist.",stress
I feel completely alone and like no one understands what I am going through.,"Loneliness is one of the most painful human experiences. It is important to distinguish between being alone and feeling lonely, as they are different things. Finding even one person who understands, whether a friend, therapist, or support group, can make a profound difference.",loneliness
I have zero motivation and keep procrastinating on everything that matters.,"Low motivation often stems from executive function difficulties, depression, or fear of failure. The five-minute rule is scientifically supported: commit to doing the task for just five minutes. Starting is the hardest part and once begun most people continue.",low_motivation
I feel like a failure at everything. I cannot seem to get anything right.,"The inner critic you are describing is often a protective mechanism that developed early in life. Cognitive defusion techniques from ACT therapy can help you see these thoughts as just words your mind produces, not truths about who you are.",low_self_esteem
I feel so depressed and hopeless. Nothing brings me joy anymore and I do not see the point in anything.,"What you are describing sounds like depression, and I want you to know that it is a medical condition, not a personal failing. Behavioural activation is one of the most evidence-based approaches: even small actions like a short walk or calling a friend can begin to break the depression cycle.",sadness
I have been feeling extremely anxious lately and cannot stop worrying about everything. My mind races at night and I cannot sleep.,"Anxiety is a very common experience and what you are describing sounds like generalised anxiety. Try focusing on slow deep breathing when the thoughts race. Inhale for 4 counts, hold for 4, exhale for 6. This activates your parasympathetic nervous system and signals safety to your brain.",anxiety
My relationship is causing me so much stress and anxiety.,Relationship stress is one of the leading causes of anxiety and depression. Attachment theory research shows that our earliest relationships shape how we connect as adults. Couples therapy or individual therapy focusing on attachment patterns can be transformative.,anxiety
